@relation GithubSocial

@attribute 'Human Resource' {HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,HR25,HR26,HR27,HR28,HR29,HR30,HR31,HR32,HR33,HR34,HR35,HR36,HR37,HR38,HR39,HR40,HR41,HR42,HR43,HR44,HR45,HR46,HR47,HR48,HR49,HR50,HR51,HR52,HR53,HR54,HR55,HR56,HR57,HR58,HR59,HR60,HR61,HR62,HR63,HR64,HR65,HR66,HR67,HR68,HR69,HR70,HR71,HR72,HR73,HR74,HR75,HR76,HR77,HR78,HR79,HR80,HR81,HR82,HR83,HR84,HR85,HR86,HR87,HR88,HR89,HR90,HR91,HR92,HR93,HR94,HR95,HR96,HR97,HR98,HR99,HR100,HR101,HR102,HR103,HR104,HR105,HR106,HR107,HR108,HR109,HR110,HR111,HR112,HR113,HR114,HR115,HR116,HR117,HR118,HR119,HR120,HR121,HR122,HR123,HR124,HR125,HR126,HR127,HR128,HR129,HR130,HR131,HR132,HR133,HR134,HR135,HR136,HR137,HR138,HR139,HR140,HR141,HR142,HR143,HR144,HR145,HR146,HR147,HR148,HR149,HR150,HR151,HR152,HR153,HR154,HR155,HR156,HR157,HR158,HR159,HR160,HR161,HR162,HR163,HR164,HR165,HR166,HR167,HR168,HR169,HR170,HR171,HR172,HR173,HR174,HR175,HR176,HR177,HR178,HR179,HR180,HR181,HR182,HR183,HR184,HR185,HR186,HR187,HR188,HR189,HR190,HR191,HR192,HR193,HR194,HR195,HR196,HR197,HR198,HR199,HR200}
@attribute Skills numeric
@attribute S1 numeric
@attribute S2 numeric
@attribute S3 numeric
@attribute S4 numeric
@attribute S5 numeric
@attribute S6 numeric
@attribute S7 numeric
@attribute S8 numeric
@attribute S9 numeric
@attribute S10 numeric
@attribute S11 numeric
@attribute S12 numeric
@attribute S13 numeric
@attribute S14 numeric
@attribute S15 numeric
@attribute S16 numeric
@attribute S17 numeric
@attribute S18 numeric
@attribute S19 numeric
@attribute S20 numeric
@attribute S21 numeric
@attribute S22 numeric
@attribute S23 numeric
@attribute S24 numeric
@attribute S25 numeric
@attribute S26 numeric
@attribute S27 numeric
@attribute S28 numeric
@attribute S29 numeric
@attribute S30 numeric
@attribute S31 numeric
@attribute score numeric

@data
HR155,0,5,6,0,0,2,2,4,6,1,8,7,1,9,9,6,6,1,0,8,5,5,10,3,3,6,5,2,8,0,6,4,56448203
HR156,10,5,4,0,7,8,3,0,10,5,8,10,5,5,8,4,5,5,2,0,0,1,5,4,1,9,3,0,5,9,0,4,664693446
HR157,5,8,6,7,0,1,10,5,4,1,1,6,0,2,7,0,5,9,2,2,8,10,6,0,1,4,6,8,8,3,2,4,553382664
HR158,5,3,0,6,0,5,7,6,0,10,5,9,1,7,3,8,5,1,8,6,2,2,2,10,5,1,1,9,7,1,2,4,478012685
HR159,2,7,3,0,5,10,5,6,8,6,1,1,6,10,3,0,7,10,10,4,3,0,1,4,3,7,8,1,3,7,2,4,607505285
HR160,2,1,6,1,2,0,8,6,8,8,2,9,4,10,10,9,6,4,3,2,0,2,3,0,10,3,1,4,3,9,1,4,245243129
HR161,0,1,6,8,0,5,2,8,8,0,4,1,10,6,5,9,10,5,9,5,4,0,9,3,5,1,0,0,8,0,8,4,452959831
HR162,2,1,6,10,7,7,1,2,0,7,2,9,0,5,8,5,10,1,6,2,5,6,8,9,0,7,1,4,3,4,1,4,67410148
HR163,4,5,2,2,3,4,3,3,8,7,10,5,4,5,4,2,8,1,9,7,0,3,1,3,6,5,5,0,7,9,4,4,220295983
HR164,6,1,8,1,4,0,3,10,1,0,0,8,7,3,6,0,3,0,8,1,10,6,10,6,5,6,7,7,0,8,2,4,20782241
HR165,3,7,3,10,3,5,5,8,10,8,3,0,1,1,7,4,1,3,7,4,1,1,2,3,9,2,3,0,10,5,10,4,44154334
HR166,5,6,0,0,10,2,1,10,4,8,8,4,6,1,10,4,2,10,4,4,10,3,8,1,2,2,4,5,2,1,4,4,561839323
HR167,3,8,2,9,0,0,7,5,0,9,2,3,1,8,8,3,1,1,5,4,6,7,4,7,3,4,2,4,6,10,2,4,220613108
HR168,3,4,1,0,9,8,4,7,7,5,2,4,7,0,10,9,0,7,9,4,2,1,4,10,1,8,0,3,3,7,0,4,532663848
HR169,0,5,2,1,4,9,6,6,8,1,1,4,3,10,8,4,0,9,2,7,5,1,5,2,3,3,8,10,0,2,7,4,271564482
HR170,6,8,3,0,1,5,6,5,1,0,7,10,0,1,9,8,1,10,2,3,5,9,0,6,4,4,1,6,10,0,2,4,407928118
HR171,1,4,4,2,3,7,4,2,10,8,6,4,1,9,9,3,0,2,7,7,1,10,1,4,4,1,6,3,3,6,3,4,286892178
HR172,4,3,7,1,3,3,0,9,2,8,8,9,10,7,6,2,2,0,3,0,0,2,10,3,9,8,0,10,4,0,2,4,302748414
HR173,5,10,0,0,6,2,2,0,5,2,2,6,6,6,3,4,0,1,2,3,2,10,1,5,4,10,8,4,5,7,10,3,796194503
HR174,3,2,3,1,5,0,4,6,3,2,1,5,10,4,2,5,4,7,0,10,6,0,6,8,1,5,3,6,8,7,4,3,875687104
HR175,2,2,9,0,6,0,8,0,5,2,4,4,5,10,8,9,2,4,2,6,4,0,6,0,4,7,7,9,0,1,6,4,180655391
HR176,3,0,10,5,9,10,0,0,7,3,0,2,3,8,3,2,10,10,3,0,0,2,4,0,9,6,5,5,10,3,5,4,471881607
HR177,10,4,10,6,4,4,0,2,10,1,5,10,2,5,2,4,8,2,3,8,0,0,7,3,0,2,6,7,4,3,3,4,558562368
HR178,0,0,1,3,6,2,1,3,8,4,9,2,6,5,6,3,2,8,1,0,7,6,4,5,9,3,0,9,3,10,8,3,755391121
HR179,4,3,0,7,3,8,0,7,1,4,4,1,4,3,0,6,4,1,5,8,10,7,5,9,6,1,1,6,8,2,5,4,247251586
HR180,2,7,5,5,0,5,8,6,9,6,1,9,6,4,3,0,9,2,5,0,0,3,5,0,6,7,7,5,2,3,3,4,357928118
HR181,3,6,7,8,1,1,0,9,5,3,3,0,7,4,3,9,6,8,2,2,0,6,0,2,7,4,10,5,2,8,0,4,124312896
HR182,3,0,7,4,3,2,4,8,7,3,0,4,7,9,1,9,7,2,2,1,0,3,7,6,9,7,0,5,4,5,0,4,13858351
HR183,4,1,3,4,2,4,7,9,5,10,2,6,5,0,3,0,5,8,3,0,6,6,10,6,1,1,0,5,5,1,10,4,160993658
HR184,8,6,4,3,0,7,8,5,0,3,9,0,6,8,0,6,3,9,3,3,3,5,7,0,3,1,4,5,3,6,2,4,374312896
HR185,7,5,3,0,10,0,5,9,10,4,4,0,2,3,9,1,0,1,2,5,8,2,6,4,6,8,5,2,2,8,1,4,249048626
HR186,4,7,7,10,4,7,0,7,4,8,9,4,2,10,5,3,1,5,1,3,4,2,4,0,3,0,5,2,3,1,8,4,530761099
HR187,1,7,6,4,7,4,0,1,5,0,0,5,10,4,7,2,10,1,6,9,2,9,2,3,1,4,6,6,4,0,6,4,278964059
HR188,10,1,0,9,6,0,4,6,3,7,3,7,4,3,1,8,0,3,1,2,8,6,3,3,4,1,2,2,6,5,9,4,22410148
HR189,6,4,2,0,3,4,1,3,2,1,4,6,2,10,7,2,3,0,7,6,10,7,8,6,1,6,3,6,3,5,0,4,27589852
HR190,0,6,4,0,2,0,6,10,5,0,0,10,3,9,5,3,0,2,9,1,4,0,4,5,7,9,6,2,0,4,8,3,685095137
HR191,3,9,1,6,4,10,3,2,0,2,10,5,5,0,9,6,0,7,4,2,5,7,6,2,0,6,0,10,2,0,3,4,425792812
HR192,7,8,10,0,5,1,0,5,1,1,5,9,9,0,6,4,3,0,5,7,0,2,4,1,8,0,6,10,3,2,4,4,142917548
HR193,4,5,3,6,6,1,10,5,1,7,2,0,6,2,0,2,4,1,2,7,0,4,1,3,3,9,2,2,10,3,9,3,829598309
HR194,5,0,1,4,4,2,4,0,4,5,10,1,5,0,7,2,0,2,1,9,7,5,4,4,1,1,3,9,6,9,7,3,532241015
HR195,5,2,7,3,2,1,8,2,8,8,4,0,9,3,9,1,3,5,0,7,8,2,3,0,0,4,1,5,9,0,0,4,30443975
HR196,3,7,0,0,1,5,0,8,7,2,4,3,5,3,3,0,3,2,6,9,2,10,0,2,10,3,3,1,3,4,9,3,507716702
HR197,1,0,0,2,0,9,6,8,6,5,0,1,0,6,9,2,0,3,10,8,3,0,0,7,5,10,0,3,6,4,1,3,575158562
HR198,0,3,8,1,5,3,2,2,0,2,1,2,6,4,0,3,8,2,3,3,3,10,6,2,2,2,4,8,2,5,9,3,317019027
HR199,0,2,7,1,5,7,3,2,10,4,2,1,10,3,4,0,6,1,2,6,9,0,1,4,2,1,10,5,2,0,4,3,718921776
HR200,0,4,9,3,10,1,7,1,2,1,2,5,2,6,6,1,7,6,1,1,0,2,3,3,1,5,6,1,6,0,5,3,650951374
